PDB, CONSENSUS, DSSP, STRIDE, KAKSI, PROSS
2qdeF, 0.9605734767025089, 0.912, 0.9173333333333333, 0.8136020151133502, 0.8666666666666667
1uvqB, 0.9154929577464789, 0.861878453038674, 0.8674033149171271, 0.8181818181818182, 0.8066298342541437
3cx5G, 1.0, 0.9206349206349206, 0.9206349206349206, 0.8174603174603174, 0.9206349206349206
3k6gC, 0.9861111111111112, 0.9456521739130435, 0.9782608695652174, 0.9009009009009009, 0.8695652173913043
2xn4A, 0.9911894273127754, 0.9335664335664335, 0.9475524475524476, 0.8940397350993378, 0.9020979020979021
2np5B, 0.9659863945578231, 0.9234972677595629, 0.907103825136612, 0.896551724137931, 0.8797814207650273
3e99A, 0.8415841584158416, 0.8082191780821918, 0.7465753424657534, 0.8048780487804879, 0.7123287671232876
1xwvA, 0.9880952380952381, 0.8992248062015504, 0.875968992248062, 0.813953488372093, 0.8372093023255814
3exeD, 0.9708333333333333, 0.9148936170212766, 0.9118541033434651, 0.8297872340425532, 0.8571428571428571
3m3gA, 0.9871794871794872, 0.7916666666666666, 0.775, 0.825, 0.8333333333333334
3e0iA, 0.92, 0.8555133079847909, 0.8517110266159695, 0.8127340823970037, 0.8288973384030418
2okmA, 0.9326923076923077, 0.8356164383561644, 0.8, 0.7755102040816326, 0.8287671232876712
2hf2B, 0.9491525423728814, 0.8821292775665399, 0.8669201520912547, 0.8303886925795053, 0.779467680608365
1q7lB, 0.8823529411764706, 0.8068181818181818, 0.7840909090909091, 0.75, 0.8636363636363636
1z7xW, 0.8492462311557789, 0.8326086956521739, 0.8195652173913044, 0.7852494577006508, 0.8304347826086956
2ivfB, 0.8884297520661157, 0.8071216617210683, 0.8071216617210683, 0.78125, 0.8100890207715133
1u09A, 0.8739255014326648, 0.8025210084033614, 0.7857142857142857, 0.7647058823529411, 0.7899159663865546
3adoA, 0.9362549800796812, 0.9064516129032258, 0.9064516129032258, 0.8432601880877743, 0.8612903225806452
3msxB, 0.9797297297297297, 0.9375, 0.9322916666666666, 0.845771144278607, 0.8697916666666666
3ndaA, 0.8111888111888111, 0.7540106951871658, 0.7379679144385026, 0.7161803713527851, 0.7540106951871658
3dfgA, 0.9913793103448276, 0.9577464788732394, 0.9507042253521126, 0.8641975308641975, 0.9577464788732394
1bxuA, 1.0, 0.8681318681318682, 0.8021978021978022, 0.8901098901098901, 0.8901098901098901
1h2sA, 0.98989898989899, 0.9511111111111111, 0.9644444444444444, 0.9155555555555556, 0.9511111111111111
2vroB, 0.9569620253164557, 0.8994307400379506, 0.8937381404174574, 0.8439849624060151, 0.8178368121442126
3ansB, 0.9313304721030042, 0.8598726114649682, 0.8694267515923567, 0.8392857142857143, 0.8184713375796179
1y0uA, 0.8813559322033898, 0.8953488372093024, 0.7906976744186046, 0.7604166666666666, 0.7906976744186046
1tz0B, 0.9545454545454546, 0.8421052631578947, 0.8, 0.868421052631579, 0.8421052631578947
1yoeA, 0.8512396694214877, 0.8211920529801324, 0.8311258278145696, 0.7919254658385093, 0.7649006622516556
2ywkA, 1.0, 0.9404761904761905, 0.9285714285714286, 0.8105263157894737, 0.7976190476190477
3k4iA, 0.924812030075188, 0.8838383838383839, 0.8181818181818182, 0.7418032786885246, 0.7929292929292929
1vl2B, 0.8575851393188855, 0.8299492385786802, 0.817258883248731, 0.7909738717339667, 0.8096446700507615
1h5bB, 0.8765432098765432, 0.8558558558558559, 0.8532110091743119, 0.7699115044247787, 0.7567567567567568
2woeC, 0.9079497907949791, 0.8591065292096219, 0.8477508650519031, 0.8260869565217391, 0.8625429553264605
1i7kA, 0.9745762711864406, 0.9315068493150684, 0.9383561643835616, 0.8324022346368715, 0.863013698630137
1soiA, 0.9658119658119658, 0.9423076923076923, 0.9423076923076923, 0.8742138364779874, 0.8076923076923077
1gy7C, 0.8928571428571429, 0.8067226890756303, 0.865546218487395, 0.768, 0.773109243697479
3o1nA, 0.968421052631579, 0.9166666666666666, 0.9246031746031746, 0.8297101449275363, 0.8611111111111112
